College,Branch,Category,Gender,Region,Technical/Non Technical,Round,Cutoff %
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,SC,M,Home District,Non Technical,1,70.4
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,NTA,M,Home District,Non Technical,1,75.2
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,NTB,M,Home District,Non Technical,1,79
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,NTC,M,Home District,Non Technical,1,62
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,OBC,M,Home District,Non Technical,1,84.8
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,OPEN,F,Home District,Non Technical,1,87
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,SC,F,Home District,Non Technical,1,73.6
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,NTA,F,Home District,Non Technical,1,79.2
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,NTB,F,Home District,Non Technical,1,79
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,NTD,F,Home District,Non Technical,1,83.2
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,OBC,F,Home District,Non Technical,1,85.6
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,OPEN,M,Home District,Technical,1,88.2
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,SC,M,Home District,Technical,1,77.2
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,ST,M,Home District,Technical,1,66.2
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,NTC,M,Home District,Technical,1,83.8
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,OBC,M,Home District,Technical,1,87.8
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,OPEN,F,Home District,Technical,1,90.8
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,SC,F,Home District,Technical,1,83.8
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,OBC,F,Home District,Technical,1,88
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,OPEN,M,Other Than Home District,Non Technical,1,85
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,NTA,M,Other Than Home District,Non Technical,1,76.17
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,NTB,M,Other Than Home District,Non Technical,1,81.6
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,NTC,M,Other Than Home District,Non Technical,1,68.4
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,OBC,M,Other Than Home District,Non Technical,1,78
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,OPEN,F,Other Than Home District,Non Technical,1,85.2
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,OBC,F,Other Than Home District,Non Technical,1,77.2
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,SC,M,Other Than Home District,Non Technical,1,69
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,SC,F,Other Than Home District,Non Technical,1,69
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,OPEN,M,Other Than Home District,Technical,1,90
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,OBC,M,Other Than Home District,Technical,1,87.4
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,OPEN,F,Other Than Home District,Technical,1,90.2
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,NTD,M,Other Than Home District,Technical,1,77.6
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,SC,M,Other Than Home District,Technical,1,76.6
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,EWS,G,State Level,Non Technical,1,71.8
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Computer Engineering,TFWS,G,State Level,Non Technical,1,87
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Mechanical Engineering,OPEN,M,Home District,Non Technical,1,74.6
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Mechanical Engineering,SC,M,Home District,Non Technical,1,65.6
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Mechanical Engineering,ST,M,Home District,Non Technical,1,68.8
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Mechanical Engineering,NTB,M,Home District,Non Technical,1,71.6
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Mechanical Engineering,OBC,M,Home District,Non Technical,1,69.8
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Mechanical Engineering,SEBC,M,Home District,Non Technical,1,56.4
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Mechanical Engineering,OPEN,F,Home District,Non Technical,1,69
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Mechanical Engineering,SC,F,Home District,Non Technical,1,65.4
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Mechanical Engineering,OBC,F,Home District,Non Technical,1,66.8
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Mechanical Engineering,OPEN,M,Home District,Non Technical,2,58.4
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Mechanical Engineering,OPEN,M,Home District,Technical,1,79.4
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Mechanical Engineering,SC,M,Home District,Technical,1,71.8
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Mechanical Engineering,OBC,M,Home District,Technical,1,77.6
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Mechanical Engineering,OPEN,F,Home District,Technical,1,77.8
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Mechanical Engineering,OPEN,M,Other Than Home District,Non Technical,1,69.6
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Mechanical Engineering,SC,M,Other Than Home District,Non Technical,1,51.2
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Mechanical Engineering,OBC,M,Other Than Home District,Non Technical,1,68.8
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Mechanical Engineering,OPEN,F,Other Than Home District,Non Technical,1,66
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Mechanical Engineering,OBC,F,Other Than Home District,Non Technical,1,63
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Mechanical Engineering,OPEN,M,Other Than Home District,Technical,1,77.8
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Mechanical Engineering,OBC,M,Other Than Home District,Technical,1,76.8
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Mechanical Engineering,NTD,M,Other Than Home District,Technical,1,77.2
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Mechanical Engineering,EWS,G,State Level,Non Technical,1,73.4
Gokhale Education Society's Sir Dr. M.S. Gosavi Polytechnic Institute Nashik Road,Mechanical Engineering,TFWS,G,State Level,Non Technical,1,79.4
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,OPEN,M,Home District,Non Technical,1,80
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,SC,M,Home District,Non Technical,1,69.6
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,ST,M,Home District,Non Technical,1,66
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,NTA,M,Home District,Non Technical,1,73.2
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,NTC,M,Home District,Non Technical,1,66.8
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,NTD,M,Home District,Non Technical,1,78
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,OBC,M,Home District,Non Technical,1,76.2
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,SEBC,M,Home District,Non Technical,1,66.2
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,OPEN,F,Home District,Non Technical,1,81
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,SC,F,Home District,Non Technical,1,71.8
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,ST,F,Home District,Non Technical,1,79.4
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,NTA,F,Home District,Non Technical,1,75.8
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,NTB,F,Home District,Non Technical,1,76.2
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,NTD,F,Home District,Non Technical,1,74.4
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,OBC,F,Home District,Non Technical,1,76
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,OPEN,M,Home District,Technical,1,68.2
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,OPEN,M,Home District,Technical,1,86.6
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,ST,M,Home District,Technical,1,86
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,NTC,M,Home District,Technical,1,77.6
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,OBC,M,Home District,Technical,1,85
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,SEBC,M,Home District,Technical,1,81.6
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,SC,F,Home District,Technical,1,77
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,OPEN,M,Other Than Home District,Non Technical,1,70
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,OBC,M,Other Than Home District,Non Technical,1,61.4
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,SEBC,M,Other Than Home District,Non Technical,1,58.33
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,SC,M,Other Than Home District,Non Technical,1,68.8
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,ST,M,Other Than Home District,Non Technical,1,64.6
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,NTB,M,Other Than Home District,Non Technical,1,80
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,OPEN,F,Other Than Home District,Non Technical,1,78
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,SC,F,Other Than Home District,Non Technical,1,67.6
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,OBC,F,Other Than Home District,Non Technical,1,73.33
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,OPEN,M,Other Than Home District,Technical,1,82.8
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,SC,M,Other Than Home District,Technical,1,65.2
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,OPEN,F,Other Than Home District,Technical,1,78
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,EWS,G,State Level,Non Technical,1,42.6
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Civil Engineering,TFWS,G,State Level,Non Technical,1,86.6
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,OPEN,M,Home District,Non Technical,1,89.4
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,SC,M,Home District,Non Technical,1,81.6
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,ST,M,Home District,Non Technical,1,70.8
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,NTA,M,Home District,Non Technical,1,87
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,NTB,M,Home District,Non Technical,1,85
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,NTC,M,Home District,Non Technical,1,87.4
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,OBC,M,Home District,Non Technical,1,88.8
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,SEBC,M,Home District,Non Technical,1,72.4
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,OPEN,F,Home District,Non Technical,1,90.6
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,SC,F,Home District,Non Technical,1,84.8
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,ST,F,Home District,Non Technical,1,80.8
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,NTB,F,Home District,Non Technical,1,84.4
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,NTD,F,Home District,Non Technical,1,86.4
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,OBC,F,Home District,Non Technical,1,88.8
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,SEBC,F,Home District,Non Technical,1,75.2
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,NTC,F,Home District,Non Technical,1,83.2
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,OPEN,M,Home District,Technical,1,84
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,OBC,M,Home District,Technical,1,81.6
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,SEBC,M,Home District,Technical,1,72
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,OPEN,F,Home District,Technical,1,89.2
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,OBC,F,Home District,Technical,2,77.4
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,SC,M,Home District,Technical,1,90.4
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,NTD,F,Home District,Technical,1,86.4
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,OPEN,M,Other Than Home District,Non Technical,1,88.4
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,SC,M,Other Than Home District,Non Technical,1,79
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,ST,M,Other Than Home District,Non Technical,1,80.4
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,NTB,M,Other Than Home District,Non Technical,1,88
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,NTC,M,Other Than Home District,Non Technical,1,88.2
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,OBC,M,Other Than Home District,Non Technical,1,87.2
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,SEBC,M,Other Than Home District,Non Technical,1,76.8
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,OPEN,F,Other Than Home District,Non Technical,1,90
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,SC,F,Other Than Home District,Non Technical,1,77.8
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,ST,F,Other Than Home District,Non Technical,1,80.6
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,NTA,F,Other Than Home District,Non Technical,1,88.4
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,OBC,F,Other Than Home District,Non Technical,1,87
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,SEBC,F,Other Than Home District,Non Technical,1,85.2
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,OPEN,M,Other Than Home District,Technical,1,90.8
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,OBC,M,Other Than Home District,Technical,1,80.6
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,NTC,M,Other Than Home District,Technical,1,70.8
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,ST,M,Other Than Home District,Technical,1,82.6
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,DEF,G,State Level,Non Technical,1,60.6
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,EWS,G,State Level,Non Technical,1,77.2
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,TFWS,G,State Level,Non Technical,1,92.4
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Computer Engineering,ORPHAN,G,State Level,Non Technical,1,88.2
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Electronics & Telecommunication Engineering,OPEN,M,Home District,Non Technical,1,87.2
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Electronics & Telecommunication Engineering,SC,M,Home District,Non Technical,1,73.2
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Electronics & Telecommunication Engineering,ST,M,Home District,Non Technical,1,46.2
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Electronics & Telecommunication Engineering,NTA,M,Home District,Non Technical,1,72
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Electronics & Telecommunication Engineering,NTB,M,Home District,Non Technical,1,78.4
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Electronics & Telecommunication Engineering,NTD,M,Home District,Non Technical,1,80
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Electronics & Telecommunication Engineering,OBC,M,Home District,Non Technical,1,86.4
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Electronics & Telecommunication Engineering,OPEN,F,Home District,Non Technical,1,88.2
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Electronics & Telecommunication Engineering,SC,F,Home District,Non Technical,1,78
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Electronics & Telecommunication Engineering,NTC,F,Home District,Non Technical,1,74.6
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Electronics & Telecommunication Engineering,OBC,F,Home District,Non Technical,1,86.8
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Electronics & Telecommunication Engineering,PWD,M,Home District,Non Technical,1,61.6
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Electronics & Telecommunication Engineering,OPEN,M,Home District,Technical,1,76.8
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Electronics & Telecommunication Engineering,NTA,M,Home District,Technical,1,72.6
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Electronics & Telecommunication Engineering,OBC,F,Home District,Technical,2,72.6
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Electronics & Telecommunication Engineering,SC,M,Home District,Technical,1,86.4
Guru Gobind Singh Foundation's Guru Gobind Singh Polytechnic Nashik,Electronics & Telecommunication Engineering,OPEN,M,Other Than Home District,Non Technical,1,79.4
